scenario,text,label_incompatible,mbt5_shock,loo_threshold,center_threshold,pred_geometry_loo,pred_geometry_center,pred_literal,pred_hybrid_loo,pred_hybrid_center,decision_loo,decision_center,literal_flag,literal_score,novel_numbers,novel_units,novel_entities,novel_content
capital_france,The capital of France is Paris.,0,0.0053429193794727325,0.10302361100912094,0.08364168368279934,0,0,0,0,0,STABLE,STABLE,0,0.0,,,,
capital_france,Paris is the capital city of France.,0,0.04381883516907692,0.10302361100912094,0.08364168368279934,0,0,0,0,0,STABLE,STABLE,0,0.0,,,,
capital_france,France's capital is Paris.,0,0.008036819286644459,0.10302361100912094,0.08364168368279934,0,0,0,0,0,STABLE,STABLE,0,0.0,,,,
capital_france,The capital of France is London.,1,0.3219638466835022,0.10302361100912094,0.08364168368279934,1,1,1,1,1,GEOMETRIC_DRIFT,GEOMETRIC_DRIFT,1,2.0,,,London,london
capital_france,The capital of France is Lyon.,1,0.5001187324523926,0.10302361100912094,0.08364168368279934,1,1,1,1,1,GEOMETRIC_DRIFT,GEOMETRIC_DRIFT,1,2.0,,,Lyon,lyon
capital_france,The capital of France is Marseille.,1,0.3923044502735138,0.10302361100912094,0.08364168368279934,1,1,1,1,1,GEOMETRIC_DRIFT,GEOMETRIC_DRIFT,1,2.0,,,Marseille,marseille
capital_france,The capital of France is Berlin.,1,0.4931313693523407,0.10302361100912094,0.08364168368279934,1,1,1,1,1,GEOMETRIC_DRIFT,GEOMETRIC_DRIFT,1,2.0,,,Berlin,berlin
water_boiling,Water boils at 100 degrees Celsius at sea level.,0,0.09867069870233536,0.2555653229355812,0.11105287075042725,0,0,0,0,0,STABLE,STABLE,0,0.0,,,,
water_boiling,"At standard pressure, water boils at 100°C.",0,0.16298113763332367,0.2555653229355812,0.11105287075042725,0,1,0,0,1,STABLE,GEOMETRIC_DRIFT,0,0.0,,,,
water_boiling,Water boils at 90 degrees Celsius at sea level.,1,0.16758565604686737,0.2555653229355812,0.11105287075042725,0,1,1,1,1,LITERAL_DRIFT,GEOMETRIC_DRIFT,1,2.0,90,,,
water_boiling,Water boils at 200 degrees Celsius at sea level.,1,0.21432773768901825,0.2555653229355812,0.11105287075042725,0,1,1,1,1,LITERAL_DRIFT,GEOMETRIC_DRIFT,1,2.0,200,,,
water_boiling,Water freezes at 100 degrees Celsius at sea level.,1,0.6127641797065735,0.2555653229355812,0.11105287075042725,1,1,0,1,1,GEOMETRIC_DRIFT,GEOMETRIC_DRIFT,0,0.5,,,,freezes
water_boiling,Water boils at 100 degrees Fahrenheit at sea level.,1,0.10404255986213684,0.2555653229355812,0.11105287075042725,0,0,1,1,1,LITERAL_DRIFT,LITERAL_DRIFT,1,3.0,,fahrenheit,Fahrenheit,
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,0.09879672527313232,0.7875837981700897,0.5861057788133621,0,0,0,0,0,STABLE,STABLE,0,0.0,,,,
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,0.33193638920783997,0.7875837981700897,0.5861057788133621,0,0,0,0,0,STABLE,STABLE,0,0.0,,,,
moon_surface,The Moon is made of green cheese.,1,0.9202415943145752,0.7875837981700897,0.5861057788133621,1,1,1,1,1,GEOMETRIC_DRIFT,GEOMETRIC_DRIFT,1,1.0,,,,"cheese,green"
moon_surface,The Moon is a hollow alien space station.,1,0.8752985000610352,0.7875837981700897,0.5861057788133621,1,1,1,1,1,GEOMETRIC_DRIFT,GEOMETRIC_DRIFT,1,2.0,,,,"alien,hollow,space,station"
moon_surface,The Moon's surface is mostly liquid water.,1,0.47624748945236206,0.7875837981700897,0.5861057788133621,0,0,1,1,1,LITERAL_DRIFT,LITERAL_DRIFT,1,1.0,,,,"liquid,water"
moon_surface,The Moon is made mostly of wood.,1,0.4874882102012634,0.7875837981700897,0.5861057788133621,0,0,0,0,0,STABLE,STABLE,0,0.5,,,,wood
programming_language_subjective_control,Python is often considered beginner-friendly.,0,0.08110224455595016,0.4365636110305786,0.31292401254177094,0,0,0,0,0,STABLE,STABLE,0,0.0,,,,
programming_language_subjective_control,Python is a popular first programming language.,0,0.2697465717792511,0.4365636110305786,0.31292401254177094,0,0,0,0,0,STABLE,STABLE,0,0.0,,,,
programming_language_subjective_control,JavaScript is also a common first programming language.,1,0.9790903925895691,0.4365636110305786,0.31292401254177094,1,1,1,1,1,GEOMETRIC_DRIFT,GEOMETRIC_DRIFT,1,2.0,,,JavaScript,javascript
programming_language_subjective_control,Java can be a good first language for structured programming.,1,0.8897386789321899,0.4365636110305786,0.31292401254177094,1,1,1,1,1,GEOMETRIC_DRIFT,GEOMETRIC_DRIFT,1,2.5,,,Java,"java,structured"
programming_language_subjective_control,C is useful for learning low-level programming concepts.,1,1.0226078033447266,0.4365636110305786,0.31292401254177094,1,1,1,1,1,GEOMETRIC_DRIFT,GEOMETRIC_DRIFT,1,3.0,,,C,"concepts,learning,low-level"
